NameofCenter,CenterAddress,State,Postcode,TelephoneNumber,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA,Borough,AUTO_UNIQUE_ID_2019-09-23_ebrelsford_Community_Heal,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",NY,10456,(718) 466-6072,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx,1,USCGeocoder,1,218.8054,,4.1,,40.8316,-73.9035,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Comprehensive Family Care Center,1265 Franklin Avenue,NY,10456,(718) 579-2500 ,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx,2,USCGeocoder,1,203.4507,,4.1,,40.8312,-73.9027,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,NY,10461,(718) 503-7714 ,,,,,,,Bronx,3,USCGeocoder,1,15.6188,,4.1,,40.8474348266876,-73.8405540742845,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,6215140.40970582,Meters,9,AddressZIPCentroid
Montefiore Family Health Center,360 East 193rd Street,NY,10458, (718) 933-2400,7,15,39901,2016318,2032750040,Bedford Park-Fordham North                                                 ,Bronx,4,USCGeocoder,1,296.8941,,4.1,,40.8630409212424,-73.8909672235975,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2775.2779436768,Meters,3,StreetSegmentInterpolation
Montefiore Medical Group Comprehensive HCC,305 East 161st Street,NY,10451,(718) 579-2597 ,4,17,173,2115808,2024210045,East Concourse-Concourse Village                                           ,Bronx,5,USCGeocoder,1,296.6608,,4.1,,40.8252686,-73.9169849,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Morris Heights Health Center,Morris Heights Health Center,NY,10453,(718) 716-4400 ,,,,,,,Bronx,6,USCGeocoder,1,0,,4.1,,40.8522917554867,-73.9135344759582,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,2385135.15155841,Meters,9,AddressZIPCentroid
Soundview Health Center,731 White Plains Road,NY,10473,(718) 589-2232 ,9,18,16,2092716,2036000004,Soundview-Castle Hill-Clason Point-Harding Park                            ,Bronx,7,USCGeocoder,1,265.6064,,4.1,,40.8203,-73.8581,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Urban Health Plan,1065 Southern Boulevard,NY,10459, (718) 991-4833,2,17,12701,2114609,2027270058,Hunts Point                                                                ,Bronx,8,USCGeocoder,1,203.2127,,4.1,,40.825,-73.8921,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Bedford/Stuyvesant Family Health Center,1413 Fulton Street,NY,11216,(718) 636-4500,3,36,269,3053469,3018540052,Bedford                                                                    ,Brooklyn,9,USCGeocoder,1,437.7082,,4.1,,40.6802,-73.9446,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Brooklyn Plaza Medical Center,650 Fulton Street,NY,11217,(718) 596-9896,2,35,35,3059247,3021130022,Fort Greene                                                                ,Brooklyn,10,USCGeocoder,1,546.8049,,4.1,,40.6868,-73.9761,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,NY,11212,(718) 345-5000 ,16,41,924,3081790,3035600026,Brownsville                                                                ,Brooklyn,11,USCGeocoder,1,515.6067,,4.1,,40.6654,-73.9098,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,NY,11206,(718) 388-0390,1,34,505,3071335,3030790006,East Williamsburg                                                          ,Brooklyn,12,USCGeocoder,1,578.1217,,4.1,,40.7055533106815,-73.9442899381401,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,93.6331360946746,ExactParcelCentroidPoint,FeatureClassBased,,,1,,ReturnAll,278.430438958108,Meters,2,Parcel
Community Health Care Network ,Caribbean House Health Center,NY,11225,(718) 778-0198 ,,,,,,,Brooklyn,13,USCGeocoder,1,0,,4.1,,40.6630459639047,-73.9542191950359,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,2289247.28760278,Meters,9,AddressZIPCentroid
Community Health Care Network ,Dr. Betty Shabazz Health Center,NY,11208,(718) 277-8303 ,,,,,,,Brooklyn,14,USCGeocoder,1,0,,4.1,,40.6691540599153,-73.871368547465,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,ZCTA,60,ZCTACentroid,FeatureClassBased,,,1,,ReturnAll,9251522.31694937,Meters,9,AddressZIPCentroid
Ezra Medical Center,571 McDonald Avenue,NY,11213,(718) 686-7600 ,12,39,486,3126000,3053700089,Kensington-Ocean Parkway                                                   ,Brooklyn,15,USCGeocoder,1,93.833,,4.1,,40.6402781720568,-73.9788275960372,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,93.6686390532544,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,5717.7845854722,Meters,3,StreetSegmentInterpolation
ODA Primary Care Health Center,14-16 Heyward Street,NY,11211,(718) 260-4600 ,1,33,537,3061077,3022300004,Williamsburg                                                               ,Brooklyn,16,USCGeocoder,1,2031.2834,,4.1,,40.6996942168133,-73.958679704397,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,93.6331360946746,ExactParcelCentroidPoint,FeatureClassBased,,,1,,ReturnAll,403.661151658744,Meters,2,Parcel
Sunset Park Family Health Center,150 55th Street,NY,11220,(718) 630-7095 ,7,38,22,3014856,3008280001,Sunset Park West                                                           ,Brooklyn,17,USCGeocoder,1,265.6684,,4.1,,40.6466158,-74.020579,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Sunset Park Family Health Center,9711 Third Avenue,NY,11209,(718) 759-9126 ,10,43,5601,3155833,3061260007,Bay Ridge                                                                  ,Brooklyn,18,USCGeocoder,1,250.0561,,4.1,,40.6153551,-74.0342026,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Sunset Park Family Health Center Brooklyn-Chinese Family Health Center,812 54th Street,NY,11220,(718) 686-2680 ,12,38,106,3139119,3056720011,Sunset Park East                                                           ,Brooklyn,19,USCGeocoder,1,296.8463,,4.1,,40.638533,-74.0057423,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Sunset Park Family Health Center Caribbean-American Family Health Center,3414 Church Avenue,NY,12203,(718) 940-9425 ,,,,,,,Brooklyn,20,USCGeocoder,1,124.9536,,4.1,,42.6804128163937,-73.8515840141818,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,93.0769230769231,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,5356.8246469954,Meters,3,StreetSegmentInterpolation
Sunset Park Family Health Center Family Physician Family Health Center,5616 6th Avenue,NY,11220,(718) 439-5440 ,7,38,102,3015404,3008400043,Sunset Park East                                                           ,Brooklyn,21,USCGeocoder,1,296.9591,,4.1,,40.6401041,-74.0121414,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Sunset Park Family Health Center Park Ridge Family Health Center,6317 4th Avenue,NY,11220,(718) 907-8100 ,7,38,122,3144058,3058090003,Sunset Park West                                                           ,Brooklyn,22,USCGeocoder,1,171.9092,,4.1,,40.6389862241337,-74.0202247758186,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1909.35984999058,Meters,3,StreetSegmentInterpolation
Sunset Park Family Health Center,220 13th Street,NY,11215,(718) 832-5980 ,6,39,141,3339179,3010340068,Park Slope-Gowanus                                                         ,Brooklyn,23,USCGeocoder,1,359.3703,,4.1,,40.6675402,-73.9901326,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Sunset Park Family Health Center,9000 Shore Road,NY,11209,(718) 630-8878 ,10,43,5201,3322532,3060780010,Bay Ridge                                                                  ,Brooklyn,24,USCGeocoder,1,546.744,,4.1,,40.6219,-74.04,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Sunset Park Family Health Center,514 49th Street,NY,11220,(718) 854-1851 ,7,38,98,3012967,3007840010,Sunset Park East                                                           ,Brooklyn,25,USCGeocoder,1,249.9955,,4.1,,40.645177,-74.0091443,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Betances Health Center,280 Henry Street,NY,10002,(212) 227-8408 ,3,2,202,1003220,1002670010,Lower East Side                                                            ,Manhattan,26,USCGeocoder,1,593.7572,,4.1,,40.7138,-73.9837,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Boriken Neighborhood Health Center,2253 Third Avenue,NY,10035,(212) 289-6650 ,11,8,194,1054626,1017870001,East Harlem North                                                          ,Manhattan,27,USCGeocoder,1,203.0759,,4.1,,40.8018812,-73.9369131,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Callen-Lorde Community Health Center,356 West 18th Street,NY,10011,(212) 271-7200 ,4,3,83,1013088,1007410063,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Manhattan,28,USCGeocoder,1,312.4986,,4.1,,40.7431362,-74.0030544,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Charles B. Wang Community Health Center,268 Canal Street,NY,10013,(212) 379-6988 ,1,1,31,1002344,1001960013,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Manhattan,29,USCGeocoder,1,656.1732,,4.1,,40.7188,-74.0013,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Community Health Care Network,79 Madison Avenue,NY,10016,(212) 366-4500 ,5,2,74,1016900,1008580022,Midtown-Midtown South                                                      ,Manhattan,30,USCGeocoder,1,593.7529,,4.1,,40.7441,-73.9854,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Heritage Health Care,1727 Amsterdam Avenue,NY,10031,(212) 862-0054 ,9,7,231,1061339,1020600001,Hamilton Heights                                                           ,Manhattan,31,USCGeocoder,1,593.7505,,4.1,,40.8255,-73.9472,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
Institute for Urban Family Health,16 East 16th Street,NY,10003,(212) 633-0800 ,5,2,52,1016077,1008430039,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Manhattan,32,USCGeocoder,1,343.7913,,4.1,,40.7368412,-73.9917407,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Ryan/Chelsea-Clinton Community Health Center,645 Tenth Avenue,NY,10036,(212) 265-4500 ,4,3,129,1085777,1010747502,Clinton                                                                    ,Manhattan,33,USCGeocoder,1,343.7268,,4.1,,40.7620639,-73.9939254,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Settlement Health & Medical Services,212 East 106th Street,NY,10029,(212) 360-2661,11,8,170,1087874,1016550007,East Harlem South                                                          ,Manhattan,34,USCGeocoder,1,312.4943,,4.1,,40.7911112,-73.9440892,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
William F. Ryan Community Health Center,110 West 97th Street,NY,10025,(212) 316-7906 ,7,7,181,1079308,1018517501,Upper West Side                                                            ,Manhattan,35,USCGeocoder,1,171.7165,,4.1,,40.7936014520014,-73.967349387034,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,5799.65797590255,Meters,3,StreetSegmentInterpolation
Charles B. Wang Community Health Center,136-26 37th Ave - 2nd Fl,NY,11345,(718) 886-1200 ,,,,,,,Queens,36,USCGeocoder,1,515.6503,,4.1,,40.6574926247693,-73.8387599046214,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,CountySubRegion,40,CountySubdivisionCentroid,FeatureClassBased,,,1,,ReturnAll,461555261.923943,Meters,12,CountyCentroid
Community Health Care Network,97-04 Sutphin Blvd,NY,11435,(718) 657-7088,12,28,208,4214585,4100300006,Jamaica                                                                    ,Queens,37,USCGeocoder,1,609.3385,,4.1,,40.6970045677509,-73.805755410178,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
The Floating Hospital,41-40 27th Street,NY,11101,(718) 784-2240,1,26,33,4005006,4004150004,Queensbridge-Ravenswood-Long Island City                                   ,Queens,38,USCGeocoder,1,265.6952,,4.1,,40.7513841285349,-73.9388535490953,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.8994082840237,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,3597.98148204188,Meters,3,StreetSegmentInterpolation
Joseph P. Addabbo Family Health Center,6200 Beach Channel Drive,NY,11692,(718) 634-2155 ,14,31,964,4302404,4160150001,Hammels-Arverne-Edgemere                                                   ,Queens,39,USCGeocoder,1,93.7364,,4.1,,40.5936061350216,-73.7919606567815,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,99,ExactParcelCentroidPoint,FeatureClassBased,,,1,,ReturnAll,4905.57051753998,Meters,2,Parcel
Project Samaritan Health Services /,137-50 Jamaica Avenue,NY,11435,(718) 298-5100 ,12,24,212,4213644,4099700019,Jamaica                                                                    ,Queens,40,USCGeocoder,1,562.4994,,4.1,,40.7022468944809,-73.8149748764135,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,0,AddressPoint
Staten Island ,235 Port Richmond Avenue,NY,10302,(718) 876-1732,1,49,207,5024241,5010350001,Port Richmond                                                              ,Staten Island,41,USCGeocoder,1,468.7691,,4.1,,40.6355,-74.135,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Ambiguous,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,96,AddressPoint,FeatureClassBased,,,2,,ReturnAll,0,Meters,0,AddressPoint
